[ 21 -46  -1]
[ 21 -46   1]
[ 21 -46   2]
[ 21 -46   3]
[ 21 -46   4]
[ 21 -46   5]
[ 21 -46   6]
[ 22 -46  -1]
[ 22 -46   1]
[-23 -45  -6]
[-23 -45  -5]
[-23 -45  -4]
[-23 -45  -3]
[-23 -45  -2]
[-23 -45  -1]
[-23 -45   1]
[-23 -45   2]
[-23 -45   3]
[-23 -45   4]
[-23 -45   5]
[-23 -45   6]
[-22 -45  -9]
[-22 -45  -8]
[-22 -45  -7]
[-22 -45  -6]
[-22 -45  -5]
[-22 -45  -4]
[-22 -45  -3]
[-22 -45  -2]
[-22 -45  -1]
[-22 -45   1]
[-22 -45   2]
[-22 -45   3]
[-22 -45   4]
[-22 -45   5]
[-22 -45   6]
[-22 -45   7]
[-22 -45   8]
[-22 -45   9]
[ 22 -45  -9]
[ 22 -45  -8]
[ 22 -45  -7]
[ 22 -45  -6]
[ 22 -45  -5]
[ 22 -45  -4]
[ 22 -45  -3]
[ 22 -45  -2]
[ 22 -45  -1]
[ 22 -45   1]
[ 22 -45   2]
[ 22 -45   3]
[ 22 -45   4]
[ 22 -45   5]
[ 22 -45   6]
[ 22 -45   7]
[ 22 -45   8]
[ 22 -45   9]
[ 23 -45  -6]
[ 23 -45  -5]
[ 23 -45  -4]
[ 23 -45  -3]
[ 23 -45  -2]
[ 23 -45  -1]
[ 23 -45   1]
[ 23 -45   2]
[ 23 -45   3]
[ 23 -45   4]
[ 23 -45   5]
[ 23 -45   6]
[-25 -44  -6]
[-25 -44  -5]
[-25 -44  -4]
[-25 -44  -3]
[-25 -44  -2]
[-25 -44  -1]
[-25 -44   1]
[-25 -44   2]
[-25 -44   3]
[-25 -44   4]
[-25 -44   5]
[-25 -44   6]
[-24 -44  -9]
[-24 -44  -8]
[-24 -44  -7]
[-24 -44  -6]
[-24 -44  -5]
[-24 -44  -4]
[-24 -44  -3]
[-24 -44  -2]
[-24 -44  -1]
[-24 -44   1]
[-24 -44   2]
[-24 -44   3]
[-24 -44   4]
[-24 -44   5]
[-24 -44   6]
[-24 -44   7]
[-24 -44   8]
[-24 -44   9]
[ 24 -44  -9]
[ 24 -44  -8]
[ 24 -44  -7]
[ 24 -44  -6]
[ 24 -44  -5]
[ 24 -44  -4]
[ 24 -44  -3]
[ 24 -44  -2]
[ 24 -44  -1]
[ 24 -44   1]
[ 24 -44   2]
[ 24 -44   3]
[ 24 -44   4]
[ 24 -44   5]
[ 24 -44   6]
[ 24 -44   7]
[ 24 -44   8]
[ 24 -44   9]
[ 25 -44  -6]
[ 25 -44  -5]
[ 25 -44  -4]
[ 25 -44  -3]
[ 25 -44  -2]
[ 25 -44  -1]
[ 25 -44   1]
[ 25 -44   2]
[ 25 -44   3]
[ 25 -44   4]
[ 25 -44   5]
[ 25 -44   6]
[-27 -43  -4]
[-27 -43  -3]
[-27 -43  -2]
[-27 -43  -1]
[-27 -43   1]
[-27 -43   2]
[-27 -43   3]
[-27 -43   4]
[-26 -43  -8]
[-26 -43  -7]
[-26 -43  -6]
[-26 -43  -5]
[-26 -43  -4]
[-26 -43  -3]
[-26 -43  -2]
[-26 -43  -1]
[-26 -43   1]
[-26 -43   2]
[-26 -43   3]
[-26 -43   4]
[-26 -43   5]
[-26 -43   6]
[-26 -43   7]
[-26 -43   8]
[ 26 -43  -8]
[ 26 -43  -7]
[ 26 -43  -6]
[ 26 -43  -5]
[ 26 -43  -4]
[ 26 -43  -3]
[ 26 -43  -2]
[ 26 -43  -1]
[ 26 -43   1]
[ 26 -43   2]
[ 26 -43   3]
[ 26 -43   4]
[ 26 -43   5]
[ 26 -43   6]
[ 26 -43   7]
[ 26 -43   8]
[ 27 -43  -4]
[ 27 -43  -3]
[ 27 -43  -2]
[ 27 -43  -1]
[ 27 -43   1]
[ 27 -43   2]
[ 27 -43   3]
[ 27 -43   4]
[-28 -42  -7]
[-28 -42  -6]
[-28 -42  -5]
[-28 -42  -4]
[-28 -42  -3]
[-28 -42  -2]
[-28 -42  -1]
[-28 -42   1]
[-28 -42   2]
[-28 -42   3]
[-28 -42   4]
[-28 -42   5]
[-28 -42   6]
[-28 -42   7]
[ 28 -42  -7]
[ 28 -42  -6]
[ 28 -42  -5]
[ 28 -42  -4]
[ 28 -42  -3]
[ 28 -42  -2]
[ 28 -42  -1]
[ 28 -42   1]
[ 28 -42   2]
[ 28 -42   3]
[ 28 -42   4]
[ 28 -42   5]
[ 28 -42   6]
[ 28 -42   7]
[-30 -41  -4]
[-30 -41  -3]
[-30 -41  -2]
[-30 -41  -1]
[-30 -41   1]
[-30 -41   2]
